Date,CountryName,RegionName,PrescriptionIndex,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings
2021-06-07,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-07,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-07,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-07,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-07,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-02,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-03,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-04,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-05,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-06,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-07,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-08,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-09,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-10,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-11,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-12,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-13,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-14,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-15,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-16,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-17,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-18,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-19,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-20,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-21,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-22,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-23,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-24,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-25,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-26,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-27,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-28,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-29,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-30,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-06-01,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-02,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-03,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-04,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-05,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-06,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-07,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-08,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-09,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-10,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-11,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-12,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-13,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-14,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-15,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-16,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-17,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-18,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-19,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-20,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-21,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-22,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-23,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-24,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-25,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-26,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-27,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-28,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-29,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-30,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-06-01,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-02,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-03,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-04,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-05,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-06,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-07,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-08,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-09,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-10,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-11,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-12,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-13,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-14,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-15,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-16,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-17,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-18,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-19,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-20,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-21,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-22,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-23,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-24,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-25,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-26,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-27,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-28,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-29,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-30,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-06-01,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-03,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-04,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-05,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-07,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-09,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-10,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-11,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-12,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-13,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-14,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-15,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-16,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-17,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-18,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-19,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-20,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-21,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-22,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-23,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-24,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-25,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-26,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-27,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-28,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-29,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-30,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,Albania,,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-02,Albania,,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-03,Albania,,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-04,Albania,,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-05,Albania,,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06,Albania,,1,0,0,0,0,0,0,0,0,0,0,0,0
