Date,CountryName,RegionName,PrescriptionIndex,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings
2021-01-21,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-21,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,1,1,0,0,3,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-21,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,2,2,0,0,2,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-21,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,3,3,0,0,3,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-21,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,4,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-21,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,5,3,1,0,3,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-21,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,6,3,2,0,2,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-02,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-03,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-04,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-05,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-06,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-07,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-08,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-09,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-10,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-11,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-12,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-13,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-14,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-15,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-16,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-17,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-18,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-19,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-20,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-21,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-22,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-23,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-24,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-25,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-26,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-27,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-28,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-29,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-30,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-31,Afghanistan,,7,3,3,0,2,0,0,0,0,0,0,0,0
2021-01-01,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-02,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-03,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-04,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-05,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-06,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-07,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-08,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-09,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-10,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-11,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-12,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-13,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-14,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-15,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-16,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-17,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-18,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-19,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-20,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-21,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-22,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-23,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-24,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-25,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-26,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-27,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-28,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-29,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-30,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-31,Afghanistan,,8,3,3,0,4,0,3,2,0,0,0,0,4
2021-01-01,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-02,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-03,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-04,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-05,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-06,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-07,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-08,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-09,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-10,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-11,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-12,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-13,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-14,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-15,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-16,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-17,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-18,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-19,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-20,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-21,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-22,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-23,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-24,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-25,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-26,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-27,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-28,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-29,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-30,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-31,Afghanistan,,9,3,3,2,4,0,3,2,0,0,0,0,4
2021-01-01,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,Albania,,0,0,0,0,0,0,0,0,0,0,0,0,0
